序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
131,874036,久正工学,1.84,844869654.18,-2.9350590564,,92516724.9,-15.3115993687,,10.544189724791,19.16,3.740182646273,26.7603835552,,2026-06-30
132,873385,ST四季青,-0.16,628297.51,-91.6206621681,,-5378486.52,76.03,,0.535754758258,-25.92,-0.014175099072,-1.5878831033,,2026-06-30
133,873048,ST佳农,-1.3,25635741.84,-63.968128825,,-44271304.96,-157.68,,-0.072944583486,,0.573479582113,-53.8773829765,,2026-06-30
134,872933,正潭股份,-0.36,31457939.84,18.9542260752,,-19159330.97,-214.4377828281,,1.518019365849,-21.28,0.069072431887,7.1679422158,,2026-06-30
135,872816,ST毕托巴,0.05,60210319.91,-9.3859589668,,5959794.61,-40.87,,1.330872652373,4.01,0.182738038608,56.8022670385,,2026-06-30
136,872584,大家股份,0.002,1156123.75,11600.7810143775,,107734.49,105.29,,0.014060026665,14.56,-0.000680349743,44.7683035661,,2026-06-30
137,872380,ST金鑫能,-1.17,116087816.58,33.9428342129,,-73411245.58,-1171.61,,0.118834435642,-166.3,-0.108036416325,-2.8592020832,,2026-06-30
138,872192,中智天弘,-0.83,,-100.0,,-4658452.29,-1833.0679977876,,0.377299298401,-104.6,-0.322192628774,,,2026-06-30
139,871953,极光创新,0.12,38675555.4,68.3895973909,,2340005.49,200.62,,0.542994855016,25.12,-0.410582242506,34.6884437502,,2026-06-30
140,871883,ST九峰,-1.4951,5200386.14,-97.0756571385,,-111451581.65,-1055.18,,0.871696886708,-92.33,0.036420947145,-292.9421517918,,2026-06-30
141,871807,兴湃至美,0.07,22590728.88,-19.1209985395,,527525.11,-77.94,,2.82406588875,2.36,-0.1218542675,41.1184374322,,2026-06-30
142,871429,莞银股份,0.66,203384627.11,29.2652101366,,8163037.73,72.7,,1.847015848622,28.91,0.725028613739,13.863873706,,2026-06-30
143,870818,ST莱斯达,-1.15,10127138.04,-57.6069449375,,-14507354.59,144.03,,-0.508422752381,,-0.167695318254,6.3696467595,,2026-06-30
144,870790,蓝色星际,-0.73,115972430.02,-58.3148783669,,-139955143.29,-147.97,,2.680477372522,-23.88,0.0560303229,25.5829323874,,2026-06-30
145,870183,中翔腾航,-0.96,9603702.69,65.0092932197,,-5397826.53,-15.37,,0.463779978124,-101.65,0.035330897534,37.0337847266,,2026-06-30
146,838959,ST蓝桃,-0.54,2579900.64,59.5520427384,,-2739978.2,-371.92,,-0.21456001975,,0.493826123537,40.3608783941,,2026-06-30
147,838744,昊天诚泰,-0.18,37742.37,-96.473450586,,-2630369.58,15.0,,0.504357740147,-29.67,-0.010482960588,3.5133723717,,2026-06-30
148,837384,民大股份,-0.45,0.0,,,-6771913.91,303.16,,0.003323274,-207.58,-0.000230707333,,,2026-06-30
149,837317,北角文化,-0.04,,-100.0,,-705971.45,85.41,,0.022381861352,18.22,0.00451178451,,,2026-06-30
150,837299,ST小鱼,-0.1,3276465.61,-47.7599640867,,-4468493.26,23.93,,-0.046082630131,,-0.026312855677,15.0865685418,,2026-06-30
151,836667,ST乐智,-0.53,0.0,,,-3884596.18,-231.51,,0.154572835937,-270.57,-0.406656433395,,,2026-06-30
152,836033,元潮科技,-0.0158,0.0,,,-490223.58,-2.1050563004,,0.138686549355,-10.76,-1.4458065e-05,,,2026-06-30
153,835889,ST开合,-0.16,3651226.7,-74.4668575378,,-5925292.95,-121.4971569619,,0.454658882173,-42.33,-0.493218033754,36.8160922465,,2026-06-30
154,835654,万源生态,-0.56,7184641.94,-64.2282464736,,-69854888.24,78.9691038359,,0.411692843027,-81.06,0.033745518798,6.3975079599,,2026-06-30
155,834401,苏河汇,-0.18,46511975.57,50.8658328069,,-5014262.83,-53.08,,0.723110460586,-21.67,1.088888465026,21.9801766421,,2026-06-30
156,834288,ST宝德生,-0.33,1433557.62,-36.5725894351,,-6973961.89,-34.49,,-0.209818505223,,-0.003262379867,54.0500248605,,2026-06-30
157,832836,银钢一通,1.21,464461559.67,13.328587754,,54391652.6,8.1674096827,,7.878498381652,18.87,-0.391193359995,23.8184901111,,2026-06-30
158,832249,普点科技,-0.14,0.0,,,-1130824.94,25.6478364695,,0.00108941875,,-0.00021871375,,,2026-06-30
159,831881,ST谦泰亨,-0.23,24951505.84,98.2321276642,,-8106408.17,6.8907814921,,-0.452809926571,,-0.001359116286,-9.8485282041,,2026-06-30
160,831523,亚成生物,-1.16,2256749.24,125.4523101345,,-82712085.04,-450.04,,0.991020279707,-73.96,0.10942844171,7.3320950803,,2026-06-30
161,830825,和泰润佳,0.02,163017594.22,5.9766725468,,1240679.24,106.45,,2.450623201479,1.02,-0.051480933442,21.2268004908,,2026-06-30
162,603389,亚振家居,-0.23,555706939.83,206.8204649859,681.2368,-59328373.54,51.5605147274,-1097.4747,0.821355820127,-25.25,0.307694730506,15.5441787638,家居用品,2026-06-30
163,430734,ST凌势,-0.2,59168.28,-94.1396934262,,-1024377.8,-139.198105764,,0.074668878,-115.68,-0.046935468,80.6517951849,,2026-06-30
164,430236,美兰股份,-0.29,193027098.39,6.4558088202,,-14434468.05,-20.3502387046,,1.648543777792,-14.89,0.316774390083,16.6045541053,,2026-06-30
165,400044,哈慈3,-0.0014,0.0,,,-449650.89,1.42,,-1.660138795211,,-1.7963499e-05,,,2026-06-30
166,400035,比特5,-0.16,33968308.22,-80.1101758763,,-101750553.71,-525.9,,0.541204691116,-31.96,-0.145271633788,-31.1554461631,,2026-06-30
167,920081,欧伦电气,4.33,2036386164.67,25.4486162278,-29.3935,232108531.64,11.5757664806,-36.3231,16.477272065112,29.76,1.473281736007,26.0978308162,小家电,2026-06-29
168,875078,聚能磁体,0.6137,234940157.96,24.7166394086,,52167906.15,66.312120922,,4.100700672706,16.22,1.228925436,43.2926313207,,2026-06-29
