code,published,title,source,url,sentiment,positive_hits,negative_hits,risk_hits
601869,2026-07-14 22:47:00,利好来了！002466、601869、603629、603256等多只热门股业绩大幅预增 最高预增49倍！,中国基金报,http://finance.eastmoney.com/a/202607143806141527.html,2.0,2,0,0
601869,2026-08-05 17:05:00,长芯博创：2026年关联交易上限增至20亿元,财中社,http://finance.eastmoney.com/a/202608053832647730.html,0.0,0,0,0
601869,2026-08-05 22:03:00,沪股通现身15只个股龙虎榜,证券时报网,http://finance.eastmoney.com/a/202608053832886858.html,0.0,0,0,0
601869,2026-08-03 17:38:54,长飞光纤：子公司拟出资1.7亿元参与设立长飞智能基金,财联社,http://finance.eastmoney.com/a/202608033829879290.html,0.0,0,0,0
601869,2026-08-05 17:59:17,8月5日A股收评：科创50指数大涨4.78% 沪深两市成交额较前一交易日放量超4400亿元,央广财经,http://finance.eastmoney.com/a/202608053832697651.html,0.0,0,0,0
601869,2026-08-03 18:06:00,长飞光纤：子公司拟斥资1.7亿元参设投资基金，布局AI及高端制造等领域,财中社,http://finance.eastmoney.com/a/202608033829894513.html,0.0,0,0,0
301396,2026-08-04 16:26:05,宏景科技301396龙虎榜数据08-04),东方财富Choice数据,http://finance.eastmoney.com/a/202608043831202470.html,0.0,0,0,0
301396,2026-08-05 11:06:40,算力租赁概念行情活跃 利通电子8月5日盘中触及涨停,央广财经,http://finance.eastmoney.com/a/202608053832341910.html,0.0,0,0,0
301396,2026-08-05 17:57:00,宏景科技拟斥资3000万元至5000万元回购，用于股权激励或员工持股计划,财中社,http://finance.eastmoney.com/a/202608053832694369.html,1.0,1,0,0
301396,2026-08-05 11:33:00,IT服务概念拉升，行业正迎来AI等主导的结构性扩张丨异动情报,南方财经网,http://finance.eastmoney.com/a/202608053832380970.html,0.0,0,0,0
301396,2026-08-05 11:33:00,IT服务概念拉升，紫光股份涨停！行业正迎来AI等主导的结构性扩张丨异动情报,21世纪经济报道,http://finance.eastmoney.com/a/202608053832380482.html,0.0,0,0,0
301396,2026-08-04 10:10:07,算力租赁概念板块走势活跃 美利云实现3连板,央广财经,http://finance.eastmoney.com/a/202608043830860345.html,0.0,0,0,0
301396,2026-08-03 17:28:14,宏景科技：拟以3000万元至5000万元回购股份,财联社,http://finance.eastmoney.com/a/202608033829869637.html,1.0,1,0,0
301396,2026-08-04 22:39:00,深股通现身15只个股龙虎榜,证券时报网,http://finance.eastmoney.com/a/202608043831523720.html,0.0,0,0,0
301396,2026-08-04 22:39:00,营业部最青睐个股曝光 8股净买入超亿元,证券时报网,http://finance.eastmoney.com/a/202608043831522129.html,0.0,0,0,0
301396,2026-08-04 11:03:00,今日613只个股突破五日均线,证券时报网,http://finance.eastmoney.com/a/202608043830921532.html,1.0,1,0,0
688519,2026-08-04 16:26:00,749只股短线走稳 站上五日均线,证券时报网,http://finance.eastmoney.com/a/202608043831213642.html,0.0,0,0,0
688519,2026-08-04 13:07:00,今日715只个股突破五日均线,证券时报网,http://finance.eastmoney.com/a/202608043831002510.html,1.0,1,0,0
688519,2026-08-05 16:55:00,8月5日科创板主力资金净流入94.75亿元,证券时报网,http://finance.eastmoney.com/a/202608053832636980.html,0.0,0,0,0
688519,2026-08-03 18:10:00,8月3日科创板主力资金净流出51.64亿元,证券时报网,http://finance.eastmoney.com/a/202608033829906112.html,0.0,0,0,0
688519,2026-07-31 17:22:00,100只股中线走稳 站上半年线,证券时报网,http://finance.eastmoney.com/a/202607313828405757.html,0.0,0,0,0
688519,2026-07-31 17:21:00,【盘中播报】117只个股突破半年线,证券时报网,http://finance.eastmoney.com/a/202607313828412065.html,1.0,1,0,0
688519,2026-07-31 12:45:00,109只股中线走稳 站上半年线,证券时报网,http://finance.eastmoney.com/a/202607313828138033.html,0.0,0,0,0
688519,2026-08-03 18:10:00,电子行业今日净流出资金265.85亿元，兆易创新等58股净流出资金超亿元,证券时报网,http://finance.eastmoney.com/a/202608033829900751.html,0.0,0,0,0
688519,2026-07-31 10:39:00,【盘中播报】103只个股突破半年线,证券时报网,http://finance.eastmoney.com/a/202607313828069889.html,1.0,1,0,0
688519,2026-08-05 22:04:00,科创板平均股价51.52元 19股股价超300元,证券时报网,http://finance.eastmoney.com/a/202608053832894422.html,0.0,0,0,0
300139,2026-08-05 11:09:00,贵金属概念盘中走强，黄金中长期逻辑仍获看好丨异动情报,南方财经网,http://finance.eastmoney.com/a/202608053832350417.html,0.0,0,0,0
300139,2026-08-05 11:09:00,贵金属板块盘中走强，黄金中长期逻辑仍获看好丨异动情报,21世纪经济报道,http://finance.eastmoney.com/a/202608053832379445.html,0.0,0,0,0
300139,2026-08-03 11:06:00,贵金属概念盘中走弱，金价两大压制因素或边际缓和，机构建议逢回调积极增配| 异动情报,21世纪经济报道,http://finance.eastmoney.com/a/202608033829599389.html,0.0,0,0,0
300139,2026-08-05 22:04:00,66只A股筹码大换手（8月5日）,证券时报网,http://finance.eastmoney.com/a/202608053832892480.html,-3.25,0,1,1
300139,2026-08-05 12:17:00,刚刚，黄金直线拉升站上4100美元，贵金属板块全线爆发,21世纪经济报道,http://finance.eastmoney.com/a/202608053832387433.html,0.0,0,0,0
300139,2026-08-05 16:55:00,有色金属行业资金流入榜：紫金矿业、洛阳钼业等净流入资金居前,证券时报网,http://finance.eastmoney.com/a/202608053832634728.html,0.0,0,0,0
300139,2026-07-31 11:39:00,贵金属板块拉升，二季度全球央行购金同比增长62% | 异动情报,21世纪经济报道,http://finance.eastmoney.com/a/202607313828123285.html,1.0,1,0,0
300139,2026-08-05 22:04:00,23只创业板股换手率超20%,证券时报网,http://finance.eastmoney.com/a/202608053832892027.html,-3.25,0,1,1
300139,2026-07-31 17:22:00,55只A股筹码大换手（7月31日）,证券时报网,http://finance.eastmoney.com/a/202607313828416437.html,0.0,0,0,0
