rank,code,name,industry,uplift_pct,individual_error,hist_date,hist_close,hist_change_pct,hist_turnover,hist_amount,individual_price,total_shares,float_shares,individual_market_cap,individual_float_market_cap,individual_industry,listing_date,hist_error,final_price,final_market_cap,final_float_market_cap
55,002364,中恒电气,电气设备,523.09,,2026-08-06,38.96,-0.13,1.53,329482799.13,38.98,563564960.0,558103760.0,21967762140.8,21754884564.8,其他电源设备Ⅱ,20100305.0,,38.98,21967762140.8,21754884564.8
56,301248,杰创智能,软件服务,518.44,,,,,,,63.08,153705000.0,112328700.0,9695711400.0,7085694396.0,IT服务Ⅱ,20220420.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",63.08,9695711400.0,7085694396.0
57,688011,新光光电,元器件,513.64,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
58,300806,斯迪克,塑料,511.59,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
59,600410,华胜天成,软件服务,506.35,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,16.27,0.74,5.34,945587954.0,,,,,,,,,16.27,,
60,000833,粤桂股份,综合类,503.3,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
61,300731,科创新源,橡胶,499.44,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
62,603822,ST嘉澳,化工原料,494.77,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,59.0,0.68,0.23,10508617.0,,,,,,,,,59.0,,
63,688622,*ST禾信,电器仪表,493.97,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,104.38,-3.53,0.46,33199132.0,,,,,,,,,104.38,,
64,002046,国机精工,机械基件,491.93,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,46.36,2.23,0.84,202708054.2,,,,,,,,,46.36,,
65,301018,申菱环境,专用机械,491.7,,,,,,,84.57,374281339.0,282822899.0,31652972839.229996,23918332568.429996,通用设备,20210707.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",84.57,31652972839.229996,23918332568.429996
66,000533,顺钠股份,电气设备,486.45,,2026-08-06,12.11,-4.65,9.12,764499415.81,12.11,690816000.0,684902400.0,8365781760.0,8294168064.0,电网设备,19940103.0,,12.11,8365781760.0,8294168064.0
67,300718,长盛轴承,机械基件,484.16,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
68,605376,博迁新材,小金属,479.78,,2026-08-06,163.81,3.91,4.04,1695255909.0,163.52,261600000.0,261600000.0,42776832000.0,42776832000.0,金属新材料,20201208.0,,163.52,42776832000.0,42776832000.0
69,688702,盛科通信,半导体,473.04,,2026-08-06,369.38,5.4,2.46,1795818876.0,369.38,410000000.0,202991783.0,151445800000.0,74981104804.54,半导体,20230914.0,,369.38,151445800000.0,74981104804.54
70,300604,长川科技,半导体,471.32,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
71,600289,ST信通,软件服务,465.91,,,,,,,4.43,631052069.0,565922684.0,2795560665.6699996,2507037490.12,通信服务,20000720.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",4.43,2795560665.6699996,2507037490.12
72,001309,德明利,半导体,465.18,,,,,,,382.42,226845658.0,165029754.0,86750316532.36,63110678524.68,半导体,20220701.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",382.42,86750316532.36,63110678524.68
73,603667,五洲新春,机械基件,461.48,,,,,,,55.63,383151922.0,366202770.0,21314741420.86,20371860095.100002,通用设备,20161025.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",55.63,21314741420.86,20371860095.100002
74,300658,延江股份,纺织,461.27,,,,,,,10.68,332764105.0,220843860.0,3553920641.4,2358612424.7999997,个护用品,20170602.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",10.68,3553920641.4,2358612424.7999997
75,002837,英维克,专用机械,457.5,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
76,002428,云南锗业,小金属,452.41,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
77,301128,强瑞技术,专用机械,451.57,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
78,603009,北特科技,汽车配件,448.74,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
79,000962,东方钽业,小金属,446.85,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,54.64,5.83,5.35,1433798444.83,,,,,,,,,54.64,,
80,002716,湖南白银,小金属,446.83,,2026-08-06,8.9,1.48,6.63,1376647196.52,8.91,2823088646.0,2322475674.0,25153719835.86,20693258255.34,贵金属,20140128.0,,8.91,25153719835.86,20693258255.34
81,300085,银之杰,软件服务,446.12,,,,,,,31.85,706640535.0,652012860.0,22506501039.75,20766609591.0,软件开发,20100526.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",31.85,22506501039.75,20766609591.0
82,301075,多瑞医药,化学制药,443.23,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,56.29,1.26,0.38,16837468.02,,,,,,,,,56.29,,
