序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日
677,002161,远 望 谷,5.65,1.44,0.67,-27.27,5.581902914321,0.2041792,60.60159859,382,3669,76.0,2026-08-05
678,002162,悦心健康,4.0,-0.25,0.31,345.04,3.995853925686,0.2082628,66.73414603,-342,1904,79.2,2026-08-05
679,002163,海南发展,8.34,-0.6,0.76,-447.57,8.377408098761,0.1288892,62.21899029,826,3220,75.2,2026-08-05
680,002164,宁波东力,11.37,0.62,0.59,69.46,11.252172443673,0.3137704,63.94374952,-74,2712,76.0,2026-08-05
681,002165,红 宝 丽,6.64,-0.75,1.82,-50.83,6.635007606808,0.2169552,52.29912236,-287,5072,83.2,2026-08-05
682,002166,莱茵生物,6.65,-0.75,0.46,29.0,6.696089175355,0.2071488,62.64226968,-174,3081,78.4,2026-08-05
683,002167,东方锆业,16.92,2.11,8.18,161.86,16.367235828516,0.3207796,66.0463943,1111,2107,80.8,2026-08-05
684,002168,ST惠程,3.68,-3.16,0.71,-150.47,3.691609152721,0.305284,63.96324782,1271,2706,69.2,2026-08-05
685,002169,智光电气,12.62,1.37,1.45,108.33,12.254209394598,0.3256756,70.43959502,104,991,76.8,2026-08-05
686,002170,芭田股份,11.71,0.34,0.55,10.39,11.67877034406,0.3068292,69.48426086,331,1206,74.0,2026-08-05
687,002171,楚江新材,10.03,0.5,1.23,29.03,9.866999923179,0.2946256,71.94490229,1615,718,79.6,2026-08-05
688,002172,澳洋健康,3.24,-0.31,0.52,118.46,3.256087749574,0.1512808,60.04386862,-503,3830,76.0,2026-08-05
689,002173,创新医疗,20.93,-1.55,6.14,-91.81,21.081839406035,0.2962736,62.95562366,-1294,2996,90.0,2026-08-05
690,002174,游族网络,12.02,-1.64,1.13,28.38,12.223404808912,0.295738,59.00531582,-2411,4086,85.6,2026-08-05
691,002175,*ST东智,2.46,-0.4,0.42,-372.23,2.47189420431,0.258492727273,55.76083962,-1679,4708,71.2,2026-08-05
692,002176,江特电机,9.44,-0.32,2.48,-22.37,9.365809419119,0.3408448,65.06527771,-370,2406,92.8,2026-08-05
693,002177,御银股份,6.07,2.36,3.91,115.82,5.935648808476,0.2411784,57.9319907,-1616,4317,76.8,2026-08-05
694,002178,延华智能,4.63,0.43,0.5,-144.66,4.617273654875,0.2271532,57.63750327,-51,4377,74.0,2026-08-05
695,002179,中航光电,34.38,-1.06,0.33,45.32,34.547188517529,0.3890028,69.51906056,-641,1193,84.0,2026-08-05
696,002180,奔图科技,19.69,10.0,0.45,108.44,17.433805584075,0.3435684,68.41645632,1083,1465,78.8,2026-08-05
697,002181,粤 传 媒,9.41,-4.08,4.02,155.97,9.753144048312,0.3284996,66.80286567,372,1878,78.0,2026-08-05
698,002182,宝武镁业,12.89,-1.75,2.79,628.02,12.842361970437,0.5011764,66.44649451,3000,1992,77.6,2026-08-05
699,002183,怡 亚 通,4.71,-0.84,0.6,181.87,4.747590136422,0.311126,57.87976896,-61,4326,72.8,2026-08-05
700,002184,海得控制,9.87,-0.3,0.7,283.71,9.875577642017,0.1565108,57.54249669,-234,4403,75.2,2026-08-05
701,002185,华天科技,16.99,2.41,5.46,162.65,16.274746144017,0.3480528,68.98574313,630,1331,89.2,2026-08-05
702,002186,全 聚 德,9.21,0.22,0.43,104.22,9.194275268385,0.1005592,61.56479387,-257,3393,74.4,2026-08-05
703,002187,广百股份,5.32,-0.37,0.35,38.61,5.333309264939,0.127274,55.66359097,-88,4729,74.8,2026-08-05
704,002188,中天服务,5.27,-0.19,1.23,68.18,5.267840178397,0.0860584,60.47687241,-1416,3705,67.6,2026-08-05
705,002189,中光学,18.9,0.48,0.47,-19.7,18.767986377299,0.19708,57.41509558,214,4430,80.0,2026-08-05
706,002190,成飞集成,23.56,0.55,0.48,-102.84,23.413567528258,0.1948528,56.03544982,-367,4664,76.0,2026-08-05
707,002191,劲嘉股份,3.73,-0.53,0.19,36.09,3.747616546424,0.3011964,54.28851266,15,4895,70.8,2026-08-05
708,002192,融捷股份,67.94,0.56,2.09,15.87,66.530597568374,0.3408828,70.92651928,1601,915,81.6,2026-08-05
709,002193,ST如意,4.11,4.85,0.79,-8.85,3.915382501145,0.1596608,49.48202003,-29,5172,66.4,2026-08-05
710,002194,武汉凡谷,10.09,10.03,7.12,-1174.27,9.16049806741,0.1749408,54.62715229,-1008,4860,73.6,2026-08-05
711,002195,岩山科技,7.04,-1.54,1.71,473.43,7.104920893582,0.3219396,70.13333372,218,1053,91.6,2026-08-05
712,002196,方正电机,11.29,0.8,1.93,120.36,11.079138293857,0.234836,65.26622477,1847,2345,76.4,2026-08-05
713,002197,证通电子,7.31,1.81,4.65,627.83,7.189897930877,0.2159044,53.11820614,-659,5012,91.2,2026-08-05
714,002198,ST嘉应,3.33,-1.77,0.36,33.92,3.366088893931,0.2785444,59.82675386,874,3892,62.4,2026-08-05
715,002199,东晶电子,13.73,-0.15,4.24,-465.25,13.829863298226,0.267535882353,57.64349996,-2369,4372,87.2,2026-08-05
716,002200,交投生态,6.88,-0.72,0.65,54.06,6.905132538066,0.086286470588,54.71129565,-356,4846,64.0,2026-08-05
717,002201,九鼎新材,8.32,1.34,1.14,86.57,8.163956728901,0.166456,68.35127262,-914,1480,73.2,2026-08-05
718,002202,金风科技,21.09,4.61,2.6,24.55,20.018564005643,0.3801852,77.71581082,90,153,84.8,2026-08-05
719,002203,海亮股份,19.33,-0.51,0.39,25.4,19.468533973439,0.3177824,71.06257438,308,883,76.0,2026-08-05
720,002204,大连重工,5.36,-0.74,0.29,12.42,5.404925043557,0.2186684,65.65095124,-314,2234,75.2,2026-08-05
721,002205,国统股份,10.42,1.66,0.48,-14.16,10.292143188466,0.0897668,55.83595492,394,4697,71.6,2026-08-05
722,002206,海 利 得,5.35,-0.19,0.28,12.62,5.349058514199,0.361812,69.4108408,-110,1221,68.8,2026-08-05
723,002207,*ST准油,5.97,-0.17,1.32,-24.9,5.829543541169,0.2678448,64.40404043,1922,2583,70.0,2026-08-05
724,002208,合肥城建,11.4,0.8,2.49,-91.96,11.135801757124,0.2453348,57.4859514,-361,4414,84.0,2026-08-05
725,002209,达 意 隆,10.84,0.74,0.57,30.51,10.742915762212,0.0743632,59.30953136,-221,4018,67.2,2026-08-05
726,002210,飞马国际,2.29,-1.29,0.75,131.31,2.310493728458,0.242522,59.13923154,-40,4059,70.4,2026-08-05
727,002211,ST宏达,3.83,-0.52,0.65,215.94,3.824752737818,0.2003008,57.09955921,215,4495,72.8,2026-08-05
728,002212,天融信,7.36,10.01,6.24,-21.54,6.690910675851,0.2360264,65.90955289,-570,2150,88.8,2026-08-05
729,002213,大为股份,29.37,1.77,6.34,111.63,28.264174916858,0.3787076,72.31812071,1384,657,78.0,2026-08-05
730,002214,大立科技,16.34,10.03,0.3,-35.81,14.85,0.463640196078,61.48803681,1293,3413,72.8,2026-08-05
731,002215,诺 普 信,9.11,-0.76,0.51,3.04,9.158838889885,0.2207108,64.00111914,-340,2696,77.2,2026-08-05
732,002216,三全食品,12.84,-1.08,0.41,10.48,12.848382908066,0.1642156,71.84576147,501,734,80.0,2026-08-05
733,002217,ST合力泰,1.54,-1.28,0.79,3479.31,1.5505052936,0.36128372549,59.41047386,-741,3993,73.6,2026-08-05
734,002218,拓日新能,4.14,-1.19,0.98,-36.17,4.17023034154,0.2098172,52.86822028,77,5040,81.6,2026-08-05
735,002219,新里程,2.09,-0.48,0.64,88.13,2.107799349754,0.3606828,60.91113827,256,3590,76.8,2026-08-05
736,002221,东华能源,5.65,-1.05,0.35,13.85,5.697883632389,0.2510228,63.09216706,1036,2948,74.8,2026-08-05
737,002222,福晶科技,59.19,1.68,3.61,106.66,56.237615048267,0.4173384,74.5432532,831,388,81.2,2026-08-05
738,002223,鱼跃医疗,27.04,-1.92,0.55,15.82,27.603431389293,0.2622972,67.96692114,-128,1565,87.6,2026-08-05
739,002224,三 力 士,3.5,0.29,0.29,-59.32,3.490199610763,0.1770616,55.93392828,-2,4683,69.6,2026-08-05
740,002225,濮耐股份,3.75,-0.27,0.38,57.49,3.759961061203,0.2881364,59.99576937,-21,3846,69.2,2026-08-05
741,002226,江南化工,5.09,0.0,0.29,25.09,5.064129652859,0.2815464,65.91826362,-422,2147,74.0,2026-08-05
742,002227,*ST特迅,6.24,0.16,0.28,-24.63,6.239725146409,0.1269644,58.04985635,-56,4299,70.0,2026-08-05
743,002228,合兴包装,3.11,0.0,0.41,23.18,3.113026448323,0.1761612,57.2118254,283,4472,67.6,2026-08-05
744,002229,鸿博股份,10.93,-0.73,2.33,-42.78,11.017053375883,0.2282872,59.33315328,-2885,4014,86.4,2026-08-05
745,002230,科大讯飞,44.23,0.14,1.07,-156.49,44.2961547139,0.3839656,70.28543463,-701,1013,94.4,2026-08-05
746,002232,启明信息,15.06,0.67,0.5,22797.8,15.074487190092,0.1518556,66.95249061,74,1831,77.2,2026-08-05
747,002233,塔牌集团,7.65,3.24,0.6,20.47,7.411095222088,0.1095088,63.88218507,840,2729,73.2,2026-08-05
748,002234,民和股份,7.23,0.7,0.36,-9.34,7.166513705546,0.1665228,59.85421883,703,3887,69.6,2026-08-05
749,002235,安妮股份,8.49,1.68,1.83,-1685.46,8.364346555284,0.2798764,59.38079595,-412,4002,81.6,2026-08-05
750,002236,大华股份,17.12,-0.35,0.47,20.05,17.19780164152,0.3557636,75.30872801,-33,308,90.0,2026-08-05
751,002237,恒邦股份,14.18,1.43,2.09,27.79,13.780272816559,0.3341384,70.73078522,1090,940,76.8,2026-08-05
752,002238,天威视讯,6.19,0.98,0.23,-57.66,6.180111286682,0.0728756,58.75410036,-1302,4144,73.2,2026-08-05
753,002239,奥特佳,2.52,-1.18,0.51,53.41,2.562025463474,0.2614616,60.61699024,-418,3667,74.8,2026-08-05
754,002240,盛新锂能,30.96,0.78,1.81,15.27,30.293043047271,0.316692,74.42189905,651,402,85.6,2026-08-05
755,002241,歌尔股份,23.45,-1.1,0.79,41.4,23.485849234872,0.4538212,73.03082474,1969,562,83.6,2026-08-05
756,002242,九阳股份,9.07,-0.66,0.25,20.88,9.092932447787,0.2078248,60.40324728,-362,3729,77.6,2026-08-05
757,002243,力合科创,7.4,-0.4,0.38,-104.26,7.430292015425,0.2597256,60.4549807,-140,3710,74.4,2026-08-05
758,002244,滨江集团,8.54,-1.04,0.31,8.19,8.500540697773,0.290592,69.60050278,754,1171,80.0,2026-08-05
759,002245,蔚蓝锂芯,17.05,1.55,1.52,37.18,16.712041379329,0.314,72.26695168,113,665,86.4,2026-08-05
760,002246,北化股份,20.21,-0.25,0.53,38.36,20.236987466826,0.2955792,67.68329711,-538,1628,75.2,2026-08-05
761,002247,聚力文化,2.25,1.81,1.97,558.08,2.214145020687,0.220418,63.96899172,1167,2705,66.4,2026-08-05
762,002248,华东数控,9.04,0.78,0.89,85.5,8.915039637704,0.23741,68.39878647,1185,1473,74.0,2026-08-05
763,002249,大洋电机,7.53,-0.4,0.81,15.53,7.539027156251,0.2535936,62.58654228,-278,3100,80.4,2026-08-05
764,002250,联化科技,16.28,-0.12,0.62,35.94,16.280220311038,0.2861888,72.23413795,489,671,81.6,2026-08-05
765,002251,步步高,3.72,-1.59,1.13,21.47,3.764000135973,0.3031692,58.65583215,846,4161,72.4,2026-08-05
766,002252,上海莱士,4.93,-2.57,0.41,25.73,5.087823761124,0.2927588,68.10508714,-1017,1537,80.8,2026-08-05
767,002253,川大智胜,10.28,1.68,0.93,-32.3,10.030158113588,0.203593529412,55.06327367,-581,4808,80.0,2026-08-05
768,002254,泰和新材,12.35,0.9,0.9,166.48,12.139458038897,0.2464508,59.78094091,336,3902,75.2,2026-08-05
769,002255,海陆重工,8.63,-1.15,1.02,17.32,8.715554146464,0.2834136,66.65706824,-1262,1933,76.8,2026-08-05
770,002256,兆新股份,3.39,-1.17,0.77,161.3,3.416212557765,0.308672,54.75383511,187,4843,72.8,2026-08-05
771,002258,利尔化学,14.37,-1.71,1.35,24.99,14.62374915942,0.294786,61.90604713,-596,3307,86.0,2026-08-05
772,002259,升达林业,3.87,-0.77,0.41,9.46,3.907705799619,0.2919596,65.28512531,1834,2338,64.0,2026-08-05
773,002261,拓维信息,27.71,-0.36,1.51,142.03,27.855853767414,0.2815072,67.36937834,-188,1710,89.2,2026-08-05
774,002262,恩华药业,21.29,-1.53,0.45,17.03,21.669643782093,0.2546068,69.94853684,-808,1088,81.6,2026-08-05
775,002263,大东南,3.04,-0.33,0.73,330.41,3.041293661014,0.2680824,56.60495931,64,4572,71.2,2026-08-05
776,002264,新 华 都,6.63,-1.04,0.9,14.25,6.66906267614,0.2435632,74.87471429,-57,354,78.4,2026-08-05
777,002265,建设工业,18.94,-1.51,0.62,141.84,19.205170878458,0.1972644,63.35894847,-29,2877,85.2,2026-08-05
778,002266,浙富控股,5.02,0.8,0.6,10.88,4.955900507044,0.3262964,75.67407816,-84,283,84.8,2026-08-05
779,002267,陕天然气,7.15,-0.83,0.17,5.35,7.220252591455,0.1681116,67.57506087,-89,1657,68.8,2026-08-05
780,002268,电科网安,14.86,0.88,0.7,-20.16,14.863578046945,0.210334,60.99061248,-256,3569,85.6,2026-08-05
781,002269,美邦服饰,1.43,0.0,1.42,578.06,1.430045101161,0.3970348,51.2122487,-319,5129,76.0,2026-08-05
782,002270,华明装备,20.75,-1.43,0.87,28.52,20.881771965777,0.3493656,77.69297566,275,155,84.4,2026-08-05
783,002271,东方雨虹,11.74,-0.59,0.57,17.45,11.777953706947,0.275718,69.06343703,1096,1305,82.4,2026-08-05
784,002272,川润股份,14.67,0.89,2.14,-57.59,14.345937230117,0.2967128,55.82253315,-200,4700,73.6,2026-08-05
785,002273,水晶光电,27.57,1.58,1.42,38.86,26.618293093037,0.3992748,76.19544031,19,244,80.4,2026-08-05
786,002274,华昌化工,5.54,0.0,0.62,27.24,5.50770114304,0.2739256,59.51898799,-421,3973,78.8,2026-08-05
787,002275,桂林三金,13.07,-0.61,0.08,15.44,13.182280898373,0.0653236,65.47021533,-1395,2282,69.6,2026-08-05
788,002276,万马股份,10.55,-1.03,0.64,42.17,10.627473819445,0.1894892,64.59013939,-442,2528,79.6,2026-08-05
789,002277,友阿股份,5.81,-0.17,0.39,47.77,5.810067531051,0.2972704,53.01782798,-656,5021,75.2,2026-08-05
790,002278,神开股份,7.98,0.13,0.52,-356.54,7.924988410262,0.1229732,61.41269724,-163,3434,72.8,2026-08-05
791,002279,久其软件,7.07,1.14,4.08,-17.78,7.054160841857,0.231984,68.00549326,-921,1554,91.2,2026-08-05
792,002281,光迅科技,171.01,-0.31,2.05,147.51,167.536913339988,0.432512,72.13141819,-617,687,93.2,2026-08-05
793,002282,博深股份,5.86,-0.17,0.21,21.44,5.880102810261,0.1422088,66.21748617,-100,2069,66.8,2026-08-05
794,002283,天润工业,8.98,0.0,0.7,17.59,8.918801032845,0.2279156,73.87191334,1364,461,67.6,2026-08-05
795,002284,亚太股份,9.65,-0.52,1.35,12.55,9.760072988659,0.232662,71.7059652,828,770,76.0,2026-08-05
