股票代码,完整代码,股票简称,交易所,板块,行业,地区,2024-02-06最低价,2024-09-24最低价,2025-04-09最低价,2026-03-24最低价,第一段抬升,第二段抬升,第三段抬升,累计抬升,是否ST
301117,301117.SZ,佳缘科技,深交所,创业板,软件服务,四川,22.2,24.28,24.7,40.75,9.37%,1.73%,64.98%,83.56%,否
600605,600605.SH,汇通能源,上交所,主板,房产服务,上海,14.63,26.44,26.62,26.8,80.72%,0.68%,0.68%,83.19%,否
300721,300721.SZ,怡达股份,深交所,创业板,化工原料,江苏,7.01,10.45,11.5,12.84,49.07%,10.05%,11.65%,83.17%,否
300229,300229.SZ,拓尔思,深交所,创业板,软件服务,北京,9.56,11.75,15.64,17.51,22.91%,33.11%,11.96%,83.16%,否
002773,002773.SZ,康弘药业,深交所,主板,化学制药,四川,13.66,16.74,23.0,25.01,22.55%,37.40%,8.74%,83.09%,否
600458,600458.SH,时代新材,上交所,主板,塑料,湖南,6.91,8.88,10.88,12.64,28.51%,22.52%,16.18%,82.92%,否
600751,600751.SH,海航科技,上交所,主板,水运,天津,1.99,2.2,2.39,3.64,10.55%,8.64%,52.30%,82.91%,否
600415,600415.SH,小商品城,上交所,主板,商品城,浙江,7.04,8.4,11.71,12.87,19.32%,39.40%,9.91%,82.81%,否
688095,688095.SH,福昕软件,上交所,科创板,软件服务,福建,37.01,48.9,49.18,67.62,32.13%,0.57%,37.49%,82.71%,否
300024,300024.SZ,机器人,深交所,创业板,专用机械,辽宁,8.01,9.24,13.87,14.63,15.36%,50.11%,5.48%,82.65%,否
002114,002114.SZ,罗平锌电,深交所,主板,铅锌,云南,4.42,4.85,5.15,8.07,9.73%,6.19%,56.70%,82.58%,否
603798,603798.SH,康普顿,上交所,主板,石油加工,山东,6.71,7.08,7.29,12.25,5.51%,2.97%,68.04%,82.56%,否
301130,301130.SZ,西点药业,深交所,创业板,化学制药,吉林,15.23,22.32,22.83,27.8,46.55%,2.28%,21.77%,82.53%,否
688190,688190.SH,云路股份,上交所,科创板,矿物制品,山东,51.02,62.11,80.0,93.0,21.74%,28.80%,16.25%,82.28%,否
688543,688543.SH,国科军工,上交所,科创板,专用机械,江西,34.02,35.5,45.55,62.0,4.35%,28.31%,36.11%,82.25%,否
603085,603085.SH,天成自控,上交所,主板,汽车配件,浙江,5.55,7.69,8.77,10.11,38.56%,14.04%,15.28%,82.16%,否
300940,300940.SZ,南极光,深交所,创业板,元器件,深圳,11.84,11.94,12.06,21.51,0.84%,1.01%,78.36%,81.67%,否
002263,002263.SZ,大东南,深交所,主板,塑料,浙江,1.73,1.9,2.02,3.14,9.83%,6.32%,55.45%,81.50%,否
300566,300566.SZ,激智科技,深交所,创业板,元器件,浙江,9.63,13.05,14.6,17.45,35.51%,11.88%,19.52%,81.20%,否
688297,688297.SH,中无人机,上交所,科创板,航空,四川,26.78,28.3,34.12,48.5,5.68%,20.57%,42.15%,81.11%,否
300501,300501.SZ,海顺新材,深交所,创业板,广告包装,上海,8.83,11.21,12.3,15.99,26.95%,9.72%,30.00%,81.09%,否
002400,002400.SZ,省广集团,深交所,主板,广告包装,广东,4.54,4.72,5.95,8.22,3.96%,26.06%,38.15%,81.06%,否
002389,002389.SZ,航天彩虹,深交所,主板,航空,浙江,11.59,13.57,17.51,20.98,17.08%,29.03%,19.82%,81.02%,否
000425,000425.SZ,徐工机械,深交所,主板,工程机械,江苏,5.63,6.58,7.98,10.19,16.87%,21.28%,27.69%,80.99%,否
688355,688355.SH,明志科技,上交所,科创板,机械基件,江苏,10.51,13.12,14.2,19.02,24.83%,8.23%,33.94%,80.97%,否
301330,301330.SZ,熵基科技,深交所,创业板,IT设备,广东,18.02,20.71,20.96,32.61,14.93%,1.21%,55.58%,80.97%,否
300404,300404.SZ,博济医药,深交所,创业板,医疗保健,广东,5.03,7.05,7.77,9.1,40.16%,10.21%,17.12%,80.91%,否
300752,300752.SZ,隆利科技,深交所,创业板,元器件,深圳,8.9,12.94,15.16,16.1,45.39%,17.16%,6.20%,80.90%,否
002692,002692.SZ,远程股份,深交所,主板,电气设备,江苏,2.82,3.56,3.9,5.1,26.24%,9.55%,30.77%,80.85%,否
300745,300745.SZ,欣锐科技,深交所,创业板,汽车配件,深圳,12.58,13.37,13.75,22.75,6.28%,2.84%,65.45%,80.84%,否
688128,688128.SH,中国电研,上交所,科创板,专用机械,广东,14.02,15.72,18.13,25.35,12.13%,15.33%,39.82%,80.81%,否
688026,688026.SH,洁特生物,上交所,科创板,医疗保健,广东,8.36,10.22,11.58,15.1,22.25%,13.31%,30.40%,80.62%,否
300517,300517.SZ,海波重科,深交所,创业板,建筑工程,湖北,5.82,7.64,7.67,10.51,31.27%,0.39%,37.03%,80.58%,否
301287,301287.SZ,康力源,深交所,创业板,文教休闲,江苏,21.21,22.88,24.13,38.3,7.87%,5.46%,58.72%,80.58%,否
002286,002286.SZ,保龄宝,深交所,主板,食品,山东,5.04,5.97,6.45,9.1,18.45%,8.04%,41.09%,80.56%,否
600120,600120.SH,浙江东方,上交所,主板,多元金融,浙江,3.03,3.59,5.02,5.47,18.48%,39.83%,8.96%,80.53%,否
300634,300634.SZ,彩讯股份,深交所,创业板,软件服务,深圳,12.7,13.84,19.3,22.92,8.98%,39.45%,18.76%,80.47%,否
601991,601991.SH,大唐发电,上交所,主板,火力发电,北京,2.25,2.53,2.73,4.06,12.44%,7.91%,48.72%,80.44%,否
301193,301193.SZ,家联科技,深交所,创业板,家居用品,浙江,11.84,13.23,13.43,21.36,11.74%,1.51%,59.05%,80.41%,否
301212,301212.SZ,联盛化学,深交所,创业板,化工原料,浙江,13.98,16.87,18.02,25.22,20.67%,6.82%,39.96%,80.40%,否
603706,603706.SH,东方环宇,上交所,主板,供气供热,新疆,10.51,13.49,15.6,18.96,28.35%,15.64%,21.54%,80.40%,否
300206,300206.SZ,理邦仪器,深交所,创业板,医疗保健,深圳,7.29,8.86,9.55,13.15,21.54%,7.79%,37.70%,80.38%,否
301335,301335.SZ,天元宠物,深交所,创业板,文教休闲,浙江,13.34,16.93,17.4,24.05,26.91%,2.78%,38.22%,80.28%,否
301073,301073.SZ,君亭酒店,深交所,创业板,酒店餐饮,浙江,13.9,14.88,19.1,25.02,7.05%,28.36%,30.99%,80.00%,否
601100,601100.SH,恒立液压,上交所,主板,工程机械,江苏,49.52,52.0,68.0,89.1,5.01%,30.77%,31.03%,79.93%,否
300133,300133.SZ,华策影视,深交所,创业板,影视音像,浙江,3.88,4.98,5.91,6.98,28.35%,18.67%,18.10%,79.90%,否
